category,subcategory,fact_name,value,unit,occurrences,has_conflict,confidence,rationale,signature
Environmental Impacts,Emissions,GHG emissions reporting threshold,"25,000 metric tons",metric tons,1,False,high,GHG emissions reporting is a key environmental compliance measure.,ghg_emissions_reporting_threshold
Environmental Impacts,Emissions,Tail Gas sulfur emissions,4,kg SO2/day,1,False,high,Sulfur emissions are a specific measure of environmental impact.,tail_gas_sulfur_emissions
Environmental Impacts,Identified Risks,Expected environmental impacts containment,Limited to project site and immediate vicinity,,1,False,medium,Containment of impacts suggests potential environmental risks.,expected_environmental_impacts_containment
Environmental Impacts,Land,LULC,Land Use and Land Cover,,1,False,medium,"LULC relates to land use, which impacts the environment but is somewhat ambiguous without specific metrics.",lulc
Environmental Impacts,Land,Section 7.2 - Land and Soil Resources,Land and Soil Resources,,1,False,high,"The section specifically addresses land and soil resources, fitting well within environmental impacts.",section_72_land_and_soil_resources
Environmental Impacts,Land,Percentage of land with slope greater than 40%,44,%,1,False,medium,Slope percentage affects land use and environmental considerations.,percentage_of_land_with_slope_greater_than_40
Environmental Impacts,Land,Thickness of sediment unit,600,meters,1,False,medium,Sediment thickness relates to land impacts but lacks specific context.,thickness_of_sediment_unit
Environmental Impacts,Land,Requirement for vegetation clearing,to support refinery development,,1,False,medium,"Vegetation clearing impacts land use, but context on extent is needed.",requirement_for_vegetation_clearing
Environmental Impacts,Land,Percentage of top crop planted: corn/maize,33,percent,1,False,medium,Percentage of crop planted relates to land use and agricultural impact.,percentage_of_top_crop_planted_cornmaize
Environmental Impacts,Location,Distance from New Village housing complex to flare,9,km,1,False,medium,Distance to housing complex relates to environmental and safety considerations.,distance_from_new_village_housing_complex_to_flare
Environmental Impacts,Monitoring,Environmental Baseline Conditions Section,23,,1,False,medium,Baseline conditions are essential for environmental monitoring but could also relate to project overview.,environmental_baseline_conditions_section
Environmental Impacts,Monitoring,Cumulative impacts evaluation,comprehensive evaluation of cumulative impacts,,1,False,medium,Cumulative impacts evaluation relates to monitoring environmental effects over time.,cumulative_impacts_evaluation
Environmental Impacts,Uncertainties,Climate influence,Asian tropical monsoon system,,1,False,medium,Climate influence relates to environmental factors but is somewhat ambiguous without specific impacts.,climate_influence
Environmental Impacts,Waste,Section 7.4 - Waste Generation,Waste Generation,,1,False,high,Waste generation is a key environmental impact factor.,section_74_waste_generation
Environmental Impacts,Waste,Section 8.3 - Waste Management,Waste Management,,1,False,high,Waste management is a specific environmental concern.,section_83_waste_management
Environmental Impacts,Waste,Sulfur Recovery Capacity,1,TPD,1,False,medium,Sulfur recovery relates to waste management but could also impact emissions.,sulfur_recovery_capacity
Environmental Impacts,Waste,Waste management,hazardous waste,,1,False,high,Waste management is a key environmental concern.,waste_management
Environmental Impacts,Waste,Hazardous waste management,industry standard practices,,1,False,medium,Hazardous waste management relates to environmental practices but lacks specific quantitative data.,hazardous_waste_management
Environmental Impacts,Waste,Spent caustic production,small quantities,tonnes per year,1,False,medium,Spent caustic relates to waste management but lacks specific context.,spent_caustic_production
Environmental Impacts,Waste,Waste production estimate,a few,tonnes per year,1,False,medium,The estimate of waste production is relevant to environmental impacts but lacks specificity.,waste_production_estimate
Environmental Impacts,Waste,Waste management compliance,international industry standards,,1,False,medium,Compliance with standards relates to waste management but lacks specific metrics.,waste_management_compliance
Environmental Impacts,Water,PDSI,Palmer Drought Severity Index,,1,False,medium,The Palmer Drought Severity Index relates to environmental conditions affecting water resources.,pdsi
Environmental Impacts,Water,Section 7.3 - Water Resources,Water Resources,,1,False,high,"The section specifically addresses water resources, a key environmental concern.",section_73_water_resources
Environmental Impacts,Water,Section 8.2 - Water Pollution,Water Pollution,,1,False,high,Water pollution is a significant environmental concern.,section_82_water_pollution
Environmental Impacts,Water,Average Monthly Rainfall data period,1958-2023,,1,False,medium,Rainfall data is relevant for understanding water impacts but lacks specific context.,average_monthly_rainfall_data_period
Environmental Impacts,Water,Daily Rainfall data period,1958-2023,,1,False,medium,Rainfall data is relevant for environmental assessments but lacks specific context.,daily_rainfall_data_period
Environmental Impacts,Water,Drainage Basin and Watercourses,Project Region Drainage Basin and Watercourses,,1,False,high,Drainage basins and watercourses are critical components of environmental impact assessments.,drainage_basin_and_watercourses
Environmental Impacts,Water,Groundwater fields and yield source,Timor Leste,,1,False,high,Groundwater sources are critical for assessing water impacts.,groundwater_fields_and_yield_source
Environmental Impacts,Water,Maximum Net Energy Consumption,"3,032,226 Gcal/yr",Gcal/yr,1,False,medium,"Energy consumption impacts environmental resources, but the specific context is unclear.",maximum_net_energy_consumption
Environmental Impacts,Water,Makeup Water Requirement,"1,000 tonnes per hour",TPH,1,False,high,Water requirements are critical for assessing environmental impacts.,makeup_water_requirement
Environmental Impacts,Water,Freshwater Consumption,8 million cubic meters,cubic meters,1,False,high,Freshwater consumption is a key environmental impact metric.,freshwater_consumption
Environmental Impacts,Water,Sea Water Requirement,"107,000 cubic meters per hour",m3/hr,1,False,high,Water requirement is a key environmental impact factor.,sea_water_requirement
Environmental Impacts,Water,Maximum Sea Water Temperature Rise,5°C,°C,2,False,medium,Temperature rise affects aquatic ecosystems; context needed for clarity.,maximum_sea_water_temperature_rise
Environmental Impacts,Water,Effluent treatment,industrial wastewater treatment plant (IWTP),,1,False,high,Effluent treatment is directly related to water management and environmental impact.,effluent_treatment
Environmental Impacts,Water,Dry season duration,June to November,,1,False,medium,Dry season duration affects water availability and environmental conditions.,dry_season_duration
Environmental Impacts,Water,Minimum annual rainfall,740,mm,1,False,high,Annual rainfall is a key environmental factor affecting water resources.,minimum_annual_rainfall
Environmental Impacts,Water,Maximum annual rainfall,2300,mm,1,False,high,Annual rainfall is a key environmental factor affecting water resources.,maximum_annual_rainfall
Environmental Impacts,Water,Average annual rainfall in Natarbora,740 to 900,mm,1,False,medium,Rainfall data is relevant for environmental impact assessment but could also relate to project planning.,average_annual_rainfall_in_natarbora
Environmental Impacts,Water,High daily rainfall event,140,mm,1,False,medium,High rainfall events impact environmental conditions but could also relate to risks.,high_daily_rainfall_event
Environmental Impacts,Water,PDSI trend from 1958 to 2023,No significant trend,,1,False,medium,"PDSI relates to drought conditions, impacting environmental assessments.",pdsi_trend_from_1958_to_2023
Environmental Impacts,Water,Groundwater reliance during dry season,critical resource,,1,False,high,Groundwater reliance is a critical environmental concern.,groundwater_reliance_during_dry_season
Environmental Impacts,Water,Groundwater extraction rate,280,liters per second,1,False,high,Groundwater extraction is a key environmental impact related to water resources.,groundwater_extraction_rate
Environmental Impacts,Water,Sea water requirement for cooling system,"107,000",cubic meters per hour,1,False,high,Water usage for cooling is a significant environmental impact.,sea_water_requirement_for_cooling_system
Environmental Impacts,Water,Typical yield of industrial deep wells,5 to 50,liters per second,1,False,medium,"Yield of wells relates to water resource management, but context is needed for clarity.",typical_yield_of_industrial_deep_wells
Environmental Impacts,Water,Freshwater availability during dry season,limited,,1,False,medium,"Freshwater availability is an environmental concern, but ""limited"" is vague.",freshwater_availability_during_dry_season
Environmental Impacts,Water,pH guideline value,6-9,S.U.,1,False,medium,"pH guidelines relate to water quality, but context is needed for specific impact assessment.",ph_guideline_value
Environmental Impacts,Water,BOD5 guideline value,30,mg/L,1,False,high,BOD5 guideline values are critical for assessing water quality impacts.,bod5_guideline_value
Environmental Impacts,Water,COD guideline value,125,mg/L,1,False,high,COD guideline values are critical for assessing water quality impacts.,cod_guideline_value
Environmental Impacts,Water,Total Suspended Solids (TSS) guideline value,30,mg/L,1,False,high,TSS guideline values are critical for assessing water quality impacts.,total_suspended_solids_tss_guideline_value
Environmental Impacts,Water,Oil and Grease guideline value,10,mg/L,1,False,high,Guideline values for oil and grease pertain to water quality impacts.,oil_and_grease_guideline_value
Environmental Impacts,Water,Chromium (total) guideline value,0.5,mg/L,1,False,high,Chromium guideline values are critical for assessing water quality impacts.,chromium_total_guideline_value
Environmental Impacts,Water,Chromium (hexavalent) guideline value,0.05,mg/L,1,False,high,Guideline values for contaminants are critical for assessing water quality impacts.,chromium_hexavalent_guideline_value
Environmental Impacts,Water,Copper guideline value,0.5,mg/L,1,False,high,Copper guideline values are critical for assessing water quality impacts.,copper_guideline_value
Environmental Impacts,Water,Iron guideline value,3,mg/L,1,False,high,Iron guideline values are critical for assessing water quality impacts.,iron_guideline_value
Environmental Impacts,Water,Cyanide Total Free guideline value,1,mg/L,1,False,high,Cyanide guidelines are critical for water quality and safety.,cyanide_total_free_guideline_value
Environmental Impacts,Water,Lead guideline value,0.1,mg/L,1,False,high,Lead guideline values are critical for assessing water quality impacts.,lead_guideline_value
Environmental Impacts,Water,Nickel guideline value,0.5,mg/L,1,False,high,Nickel guideline values are critical for assessing water quality impacts.,nickel_guideline_value
Environmental Impacts,Water,Mercury guideline value,0.003,mg/L,1,False,high,Mercury guideline values are critical for assessing water quality impacts.,mercury_guideline_value
Environmental Impacts,Water,Arsenic guideline value,0.1,mg/L,1,False,high,Arsenic guideline values are critical for assessing water quality impacts.,arsenic_guideline_value
Environmental Impacts,Water,Vanadium guideline value,1,mg/L,1,False,high,Guideline values for contaminants are key environmental indicators.,vanadium_guideline_value
Environmental Impacts,Water,Phenol guideline value,0.2,mg/L,1,False,high,Phenol guideline values are critical for assessing water quality impacts.,phenol_guideline_value
Environmental Impacts,Water,Benzene guideline value,0.05,mg/L,1,False,high,Benzene guideline values are critical for assessing water quality impacts.,benzene_guideline_value
Environmental Impacts,Water,Benzo(a)pyrene guideline value,0.05,mg/L,1,False,high,Guideline values for pollutants are critical environmental indicators.,benzoapyrene_guideline_value
Environmental Impacts,Water,Sulfides guideline value,0.2,mg/L,1,False,high,Sulfide levels are critical for assessing water quality impacts.,sulfides_guideline_value
Environmental Impacts,Water,Total Nitrogen guideline value,10,mg/L,1,False,high,Nitrogen guidelines are critical for assessing water quality impacts.,total_nitrogen_guideline_value
Environmental Impacts,Water,Total Phosphorus guideline value,2,mg/L,1,False,high,Phosphorus guidelines pertain to water quality standards.,total_phosphorus_guideline_value
Environmental Impacts,Water,Sea level rise rate,9,mm per year,1,False,medium,"Sea level rise impacts water resources and ecosystems, but context is needed for specific relevance.",sea_level_rise_rate
Environmental Impacts,Water,Projected sea level rise by 2030,9-18,cm,1,False,medium,Sea level rise is an environmental concern but its direct impact context is unclear.,projected_sea_level_rise_by_2030
Environmental Impacts,Water,Groundwater scarcity,significant,,1,False,medium,Groundwater scarcity is an environmental concern but lacks specific quantitative data.,groundwater_scarcity
Environmental Impacts,Water,Saltwater intrusion,increased,,1,False,medium,"Saltwater intrusion affects water resources, but context is needed for clarity.",saltwater_intrusion
Environmental Impacts,Water,Freshwater demand from new development,substantial,,1,False,medium,Freshwater demand relates to environmental resource use but is described qualitatively.,freshwater_demand_from_new_development
Social Impacts,Community,Population and Demography Section,38,,1,False,medium,Demographic information relates to community aspects but lacks specific context.,population_and_demography_section
Social Impacts,Community,Section 7.6 - Socioeconomic Impacts,Socioeconomic Impacts,,1,False,medium,"The section title indicates a focus on social aspects, but lacks specific details.",section_76_socioeconomic_impacts
Social Impacts,Community,Section 8.5 - Socioeconomic and Sociocultural Impact Management,Socioeconomic and Sociocultural Impact Management,,1,False,medium,"Focuses on managing social impacts, but lacks specific details.",section_85_socioeconomic_and_sociocultural_impact_management
Social Impacts,Community,Population Pyramid data year,2020,,1,False,medium,Population data relates to community demographics but lacks specific context.,population_pyramid_data_year
Social Impacts,Community,Agricultural activities in local communities,"fishing, farming, livestock",,1,False,high,Agricultural activities are directly related to community social dynamics.,agricultural_activities_in_local_communities
Social Impacts,Community,Number of houses in Aubeon Village,566,houses,1,False,high,The number of houses directly relates to community demographics.,number_of_houses_in_aubeon_village
Social Impacts,Community,Average household size in Timor-Leste,4.7,persons,1,False,medium,Household size is relevant to community dynamics but not directly tied to project specifics.,average_household_size_in_timor_leste
Social Impacts,Community,Estimated total population in Aubeon Village,"2,660",people,1,False,high,Population estimates are key community impact indicators.,estimated_total_population_in_aubeon_village
Social Impacts,Community,Population of Manatuto Municipality,"50,000",people,1,False,high,Population figures are relevant to community impact assessments.,population_of_manatuto_municipality
Social Impacts,Community,Percentage of national population living in Dili,25,percent,1,False,medium,Percentage of population relates to community demographics but lacks specific context.,percentage_of_national_population_living_in_dili
Social Impacts,Community,Population of isolated Administrative Post,"6,000",people,1,False,high,Population figures are relevant to community impact assessments.,population_of_isolated_administrative_post
Social Impacts,Community,Percentage of population in isolated Administrative Post,12,percent,1,False,medium,Percentage of isolated population relates to community impact but lacks specific context.,percentage_of_population_in_isolated_administrative_post
Social Impacts,Community,Area of land for livestock group,7,hectares,1,False,medium,The area designated for livestock relates to community land use but lacks specific context.,area_of_land_for_livestock_group
Social Impacts,Community,Area of land for agriculture group,4,hectares,1,False,medium,The area designated for agriculture relates to community impacts but could also touch on environmental aspects.,area_of_land_for_agriculture_group
Social Impacts,Community,Area of land for fisheries group,1,hectare,1,False,medium,The area designated for fisheries relates to community resources but lacks clarity on impact.,area_of_land_for_fisheries_group
Social Impacts,Community,Percentage of landowners in surveyed villages,83,percent,1,False,medium,Percentage of landowners indicates community engagement but lacks broader context.,percentage_of_landowners_in_surveyed_villages
Social Impacts,Community,Percentage of landowners who inherited land,20,percent,1,False,medium,Inheritance of land relates to community dynamics and social structure.,percentage_of_landowners_who_inherited_land
Social Impacts,Community,Percentage of farmers hiring tractors for cultivation,31,percent,1,False,medium,"This fact relates to agricultural practices and community engagement, but its impact is somewhat ambiguous.",percentage_of_farmers_hiring_tractors_for_cultivation
Social Impacts,Community,Percentage of Aubeon farmers planting wet rice,69,percent,1,False,medium,"This fact relates to agricultural practices within the community, indicating social engagement.",percentage_of_aubeon_farmers_planting_wet_rice
Social Impacts,Community,Percentage of farmers planting only one crop annually,88-90,percent,1,False,medium,This fact relates to agricultural practices affecting community livelihoods.,percentage_of_farmers_planting_only_one_crop_annually
Social Impacts,Community,Percentage of landowners selling crops,41,percent,1,False,medium,"This fact relates to community engagement and agricultural impact, but the context is somewhat ambiguous.",percentage_of_landowners_selling_crops
Social Impacts,Community,Percentage of farmers using slash-and-burn,16,percent,1,False,medium,This fact relates to agricultural practices affecting community dynamics.,percentage_of_farmers_using_slash_and_burn
Social Impacts,Community,Percentage of top crop planted: cassava,17,percent,1,False,medium,Percentage of a crop planted relates to community agricultural practices.,percentage_of_top_crop_planted_cassava
Social Impacts,Community,Percentage of landowners owning teak trees,58,percent,1,False,medium,Ownership of teak trees relates to community and land use impacts.,percentage_of_landowners_owning_teak_trees
Social Impacts,Community,Ethno-linguistic group of respondents,Tetun-Terik,,1,False,high,Ethno-linguistic group is relevant to community engagement and social context.,ethno_linguistic_group_of_respondents
Social Impacts,Community,Illiteracy rate among respondents,25,percent,1,False,medium,Illiteracy rate is a social indicator but lacks context for precise categorization.,illiteracy_rate_among_respondents
Social Impacts,Community,Rate of respondents with formal education,75,percent,1,False,medium,Education levels can impact community engagement and development.,rate_of_respondents_with_formal_education
Social Impacts,Community,Rate of respondents with primary schooling,33,percent,1,False,medium,Education levels relate to community social impacts but could fit in various contexts.,rate_of_respondents_with_primary_schooling
Social Impacts,Community,Rate of respondents with secondary school or higher,28,percent,1,False,medium,Education levels impact community development and social structure.,rate_of_respondents_with_secondary_school_or_higher
Social Impacts,Community,Year of agreements with community leaders,2013,year,1,False,medium,The year of agreements indicates community engagement but lacks detail on impact.,year_of_agreements_with_community_leaders
Social Impacts,Community,Project area includes fishing communities,fishing communities,,1,False,high,The fact pertains to the presence of communities affected by the project.,project_area_includes_fishing_communities
Social Impacts,Community,NGO involvement,Bega Valley Advocates for Timor-Leste,,1,False,medium,NGO involvement relates to community engagement but lacks specific impact details.,ngo_involvement
Social Impacts,Community,Local agricultural organization,Local Agricultural Organisation in the village of Uma-Boco,,1,False,high,The fact pertains to community engagement and local organization involvement.,local_agricultural_organization
Social Impacts,Community,School involved,Natarbora Agriculture Technical School,,1,False,high,Involvement of a school indicates community engagement.,school_involved
Social Impacts,Community,Issues of concern to Affected Communities,"recruitment and terms of employment, safety or comfort of residents, environmental impacts",,1,False,high,Concerns raised by affected communities directly relate to social impacts.,issues_of_concern_to_affected_communities
Social Impacts,Community,Population concentration in Dili,25,percent,1,False,medium,Population concentration relates to community dynamics but lacks specific context.,population_concentration_in_dili
Social Impacts,Community,Population percentage in Manatuto,2,percent,1,False,medium,Population percentage relates to community demographics but lacks specific context.,population_percentage_in_manatuto
Social Impacts,Community,Economic inequalities,Perceived economic inequalities,,1,False,medium,Economic inequalities relate to social dynamics within the community.,economic_inequalities
Social Impacts,Community,Targeted training initiatives,targeted training and capacity building initiatives,,1,False,medium,Training initiatives can enhance community capacity but are not strictly defined.,targeted_training_initiatives
Social Impacts,Community,Project impact on local communities,significant yet manageable,,1,False,medium,"The impact on local communities is a social consideration, but the description is vague.",project_impact_on_local_communities
Social Impacts,Community,Community Concern on Species,Local villagers expressed concern,,1,False,high,Community concerns directly relate to social impacts.,community_concern_on_species
Social Impacts,Community,Community Awareness of Job Opportunities,Awareness of potential job filling by outsiders,,1,False,medium,Community awareness of job opportunities relates to social impacts but lacks specific metrics.,community_awareness_of_job_opportunities
Social Impacts,Community,Gap in Community Understanding,Significant gap in understanding environmental impacts,,1,False,medium,The gap in understanding environmental impacts relates to community engagement and social awareness.,gap_in_community_understanding
Social Impacts,Community,Frequency of Community Consultations,Infrequent and limited consultations,,1,False,medium,Frequency of consultations relates to community engagement but lacks clarity on impact.,frequency_of_community_consultations
Social Impacts,Community,Distance to Clinic,3,kilometers,1,False,medium,Distance to healthcare facilities impacts community access and well-being.,distance_to_clinic
Social Impacts,Cultural,Cultural Environment Section,41,,1,False,high,Cultural environment is a key aspect of social impacts.,cultural_environment_section
Social Impacts,Cultural,Section 7.7 - Sociocultural Impacts,Sociocultural Impacts,,1,False,medium,Sociocultural impacts relate to social aspects but are somewhat ambiguous without specific details.,section_77_sociocultural_impacts
Social Impacts,Cultural,Cultural significance,Sacred sites and culturally significant areas,,1,False,high,Cultural significance directly relates to social impacts.,cultural_significance
Social Impacts,Cultural,Cultural dynamics importance,long-established knowledge of local cultural dynamics,,1,False,high,Cultural dynamics are a significant aspect of social impacts.,cultural_dynamics_importance
Social Impacts,Employment,Employment impact focus,"local employment, business development, macroeconomic effects",,1,False,medium,"Focus on local employment and business development indicates social impact, but macroeconomic effects add complexity.",employment_impact_focus
Social Impacts,Employment,Challenges for local residents,competition for project-related jobs,,1,False,medium,Challenges related to job competition affect local communities.,challenges_for_local_residents
Social Impacts,Employment,Employment opportunities for residents,Some residents may secure employment,,1,False,medium,The statement indicates potential employment but lacks specific quantifiable data.,employment_opportunities_for_residents
Social Impacts,Employment,Youthful labor force,"Large, youthful labor force",,1,False,medium,"Describes the demographic aspect of the labor force, relevant to social impacts.",youthful_labor_force
Social Impacts,Employment,Employment generation,local employment generation,,1,False,high,Employment generation is a key aspect of social impacts.,employment_generation
Social Impacts,Employment,Workforce requirement,larger workforce,,1,False,medium,"The requirement for a larger workforce indicates potential social impacts related to employment, but lacks specific numeric data.",workforce_requirement
Social Impacts,Employment,Job creation,job creation,,1,False,high,Job creation is a key indicator of social impact.,job_creation
Social Impacts,Resettlement,PAP,Project Affected People,,1,False,medium,Project Affected People indicates potential social impacts related to resettlement.,pap
Social Impacts,Resettlement,Percentage of landowners who obtained land from Indonesian government,17-29,percent,1,False,medium,This fact relates to land ownership and potential displacement issues.,percentage_of_landowners_who_obtained_land_from_indonesian_government
Social Impacts,Resettlement,Percentage of landowners who obtained land from Timor-Leste government,13-17,percent,1,False,medium,This fact relates to land ownership and potential resettlement issues.,percentage_of_landowners_who_obtained_land_from_timor_leste_government
Social Impacts,Resettlement,Road project,Manatuto- Laclubar-Natarbora Road Resettlement Plan,,1,False,high,The mention of a resettlement plan indicates a direct social impact related to the road project.,road_project
Economic Impacts,Infrastructure,Economy and Infrastructure Section,40,,1,False,medium,"The mention of ""Economy and Infrastructure Section"" suggests a focus on economic aspects, but lacks specificity.",economy_and_infrastructure_section
Economic Impacts,Investment,Section 8.7 - Enhancing Benefits,Enhancing Benefits,,1,False,medium,"The section title suggests a focus on maximizing economic benefits, but lacks specific context.",section_87_enhancing_benefits
Economic Impacts,Investment,Economic opportunities in Timor-Leste,substantial opportunities for economic and social progress,,1,False,medium,Describes potential economic benefits but lacks specific metrics.,economic_opportunities_in_timor_leste
Economic Impacts,Investment,Lifecycle cost reduction strategy,lower overall lifecycle costs,,1,False,medium,Lifecycle cost strategies relate to economic efficiency but lack specific metrics.,lifecycle_cost_reduction_strategy
Economic Impacts,Revenue,Economic modeling approaches used,input-output (I-O) multipliers and computable general equilibrium (CGE) modeling,,1,False,medium,Economic modeling approaches relate to economic analysis but are not directly tied to a specific revenue category.,economic_modeling_approaches_used
Economic Impacts,Revenue,Economic activity during construction,Increased economic activity,,1,False,medium,Increased economic activity relates to economic impacts but lacks specific metrics.,economic_activity_during_construction
Economic Impacts,Revenue,Economic activity stimulation,higher levels of economic activity,,1,False,medium,Economic activity stimulation suggests potential revenue impacts but lacks specific metrics.,economic_activity_stimulation
Economic Impacts,Revenue,GDP impact,boost national GDP,,1,False,medium,"The impact on GDP suggests economic benefits, but specifics are vague.",gdp_impact
Economic Impacts,Revenue,Economic Contribution of Species,Significant contribution to essential expenses,,1,False,medium,Economic contributions of species can relate to revenue generation but lack specific metrics.,economic_contribution_of_species
Health & Safety,Emergency,Distance from plant's office to nearest flare,1,km,1,False,medium,Distance to flare is relevant for safety considerations but lacks context.,distance_from_plants_office_to_nearest_flare
Health & Safety,Institutional,"Adoption of Environmental, Health, and Safety Guidelines",EHS Guidelines,,1,False,high,Adoption of guidelines is a key aspect of health and safety management.,adoption_of_environmental_health_and_safety_guidelines
Health & Safety,Occupational,Health and safety framework,IFC EHS Guidelines for Petroleum Refining,,1,False,high,Health and safety frameworks are critical for occupational safety standards.,health_and_safety_framework
Health & Safety,Occupational,Hazardous area classification standards,American Petroleum Institute Recommended Practice (API RP 500),,1,False,high,Hazardous area classification standards are critical for ensuring safety in occupational settings.,hazardous_area_classification_standards
Health & Safety,Occupational,Equipment certification standards,IEC 60079-11:2023,,1,False,medium,Certification standards relate to safety but context is limited.,equipment_certification_standards
Health & Safety,Occupational,WHO heat stress threshold,35,°C,1,False,high,Heat stress thresholds are critical for occupational health and safety assessments.,who_heat_stress_threshold
Health & Safety,Public Health,WHO,World Health Organization,,1,False,medium,WHO is relevant to health and safety but lacks specific context.,who
Governance & Management,Basic Info,Revision history submission date,17/01/2025,,2,False,medium,Submission dates are relevant for project documentation but lack specific context.,revision_history_submission_date
Governance & Management,Basic Info,Document distribution date,10/02/2025,,1,False,medium,Document distribution is relevant to project governance but lacks specific context.,document_distribution_date
Governance & Management,Engagement,Stakeholder Engagement Section,42,,1,False,high,Stakeholder engagement is a key aspect of governance and management.,stakeholder_engagement_section
Governance & Management,Engagement,Community Outreach and Information Disclosure Section,44,,1,False,medium,"This section relates to community engagement efforts, but the specific context is unclear.",community_outreach_and_information_disclosure_section
Governance & Management,Engagement,Consultation and Participation Section,45,,1,False,medium,Consultation and participation are related to stakeholder engagement but lack clarity on context.,consultation_and_participation_section
Governance & Management,Engagement,Stakeholder engagement strategy alignment,international infrastructure development standards,,1,False,medium,The alignment with international standards suggests a governance aspect but lacks specific context.,stakeholder_engagement_strategy_alignment
Governance & Management,Engagement,Stakeholder identification and mapping process,diverse range of stakeholders,,1,False,medium,Stakeholder mapping is related to governance but lacks specific details.,stakeholder_identification_and_mapping_process
Governance & Management,Engagement,Key stakeholders,"local residents, community leaders, governmental bodies, business entities",,1,False,high,Identifying key stakeholders is crucial for project engagement and governance.,key_stakeholders
Governance & Management,Engagement,Stakeholder mapping steps,"listing, grouping, evaluating, prioritizing",,1,False,medium,Stakeholder mapping is related to governance but lacks specific context.,stakeholder_mapping_steps
Governance & Management,Engagement,Stakeholder evaluation criteria,"level of influence, interest, potential impact",,1,False,medium,Stakeholder evaluation criteria relate to governance and engagement processes.,stakeholder_evaluation_criteria
Governance & Management,Engagement,Stakeholder prioritization method,grid with axes representing power/influence and interest,,1,False,medium,Stakeholder prioritization is part of engagement strategy but lacks specific context.,stakeholder_prioritization_method
Governance & Management,Engagement,Community engagement process,Two-way process,,1,False,medium,Describing the engagement process indicates governance but lacks specific details.,community_engagement_process
Governance & Management,Engagement,Reporting frequency to Affected Communities,annually,times per year,1,False,medium,Reporting frequency indicates engagement with affected communities but lacks detail on effectiveness.,reporting_frequency_to_affected_communities
Governance & Management,Engagement,Stakeholder engagement process cost,no cost,,1,False,medium,The cost of stakeholder engagement is relevant to governance but lacks clarity on its impact.,stakeholder_engagement_process_cost
Governance & Management,Engagement,Stakeholder engagement focus,Dialogue with community leaders,,1,False,high,Engagement with community leaders is a key aspect of stakeholder interaction.,stakeholder_engagement_focus
Governance & Management,Engagement,Grievance resolution,quick and equitable resolution,,1,False,medium,Grievance resolution relates to community engagement but lacks specific context.,grievance_resolution
Governance & Management,Engagement,Stakeholder Engagement Importance,Further community consultation essential,,1,False,medium,The importance of community consultation relates to stakeholder engagement practices.,stakeholder_engagement_importance
Governance & Management,Engagement,Project Information Dissemination,Project information largely among elites in Dili,,1,False,medium,Information dissemination among elites suggests governance issues in community engagement.,project_information_dissemination
Governance & Management,Engagement,Future Consultation Priorities,Prioritize capturing genuine attitudes and opinions,,1,False,medium,Consultation priorities relate to stakeholder engagement but lack specific context.,future_consultation_priorities
Governance & Management,Institutional,Confidentiality notification,Confidential,,1,False,medium,Confidentiality notifications relate to governance and management practices.,confidentiality_notification
Governance & Management,Institutional,JIS,Japanese Industrial Standards,,1,False,medium,"JIS relates to standards and regulations, fitting within governance but lacking specific context.",jis
Governance & Management,Institutional,NAEL,National Agency for Environmental License,,1,False,high,The National Agency for Environmental License is an institutional body relevant to governance.,nael
Governance & Management,Institutional,NGO,Non-Government Organization,,1,False,medium,"NGOs play a role in governance and institutional frameworks, but context is needed for clarity.",ngo
Governance & Management,Institutional,PANA,National Programme for Adaptation to Climate Changes,,1,False,medium,The National Programme for Adaptation to Climate Changes relates to institutional frameworks for climate adaptation.,pana
Governance & Management,Institutional,PS,Performance Standards,,1,False,medium,Performance Standards relate to governance frameworks but lack specific context.,ps
Governance & Management,Institutional,SEP,Stakeholder Engagement Plan,,1,False,high,A Stakeholder Engagement Plan is a key component of governance and management practices.,sep
Governance & Management,Institutional,TOR,Terms of Reference,,1,False,high,Terms of Reference are essential for governance and project management.,tor
Governance & Management,Institutional,Legal and Regulatory Framework Section,17,,1,False,medium,Legal frameworks are part of governance but context is limited.,legal_and_regulatory_framework_section
Governance & Management,Institutional,Grievance Redress Mechanism Section,45,,1,False,medium,The grievance redress mechanism relates to governance but lacks specific context.,grievance_redress_mechanism_section
Governance & Management,Institutional,Environmental Bureau Organization Chart,Organization Chart of Environment Bureau,,1,False,medium,The organization chart relates to governance structures but lacks specific context.,environmental_bureau_organization_chart
Governance & Management,Institutional,Environmental Licensing Procedure,Procedure for Environmental Licensing,,1,False,high,Environmental licensing is a key governance procedure.,environmental_licensing_procedure
Governance & Management,Institutional,Environmental Basic Law,Decree Law No. 26 of 2012,,1,False,high,The Environmental Basic Law pertains to governance and regulatory frameworks.,environmental_basic_law
Governance & Management,Institutional,Legal Authorization for Environmental Basic Legislation,Law No. 3 of 2012,,1,False,high,Legal authorization is a key aspect of governance and management.,legal_authorization_for_environmental_basic_legislation
Governance & Management,Institutional,Category A Projects requirement,Environmental Impact Statement and Environmental Management Plan,,1,False,high,Requirements for Category A projects pertain to governance and management protocols.,category_a_projects_requirement
Governance & Management,Institutional,Category B and C Projects requirement,Initial Environmental Examination and Environmental Management Plan,,1,False,medium,Requirements for environmental assessments relate to governance and management practices.,category_b_and_c_projects_requirement
